order,global_max_absdiff_T
1,9.985502008591496e-17
2,2.1175956030255517e-18
3,1.1638232695274087e-18
4,7.59735614127904e-19
5,7.014226896653658e-19
6,5.851012432057088e-19
7,5.606382037700656e-19
8,4.644122831117719e-19
9,6.253783215921408e-19
10,6.732720790589611e-19
11,1.2612320584616532e-18
12,5.798999315139754e-18
13,1.425079994196157e-18
14,6.784601558608937e-19
15,4.521137617643334e-19
